Status,Label,Message,ProcessedMessage
receive,1,Reduce your stress.Stress/anxiety can temporarily increase blood pressure.More Tips on How to Control High Blood Pressure.Txt Bp to 35240. Cost N100 /30 days,reduc stress stress anxieti temporarili increas blood pressur tip control high blood pressur txt bp number cost nnumber number day
receive,0,Please call me. Get 100% extra when you recharge with *885*RechargePin# on SmoothTalk and Trutalk.Extra Airtime expires daily @ 11:59pm.,pleas call get number extra recharg number rechargepin smoothtalk trutalk extra airtim expir daili number numberpm
send,0,Wen u get to lafenwa or ita oshin take camp cab wen u get to camp cross to d oda side going to Unaab den call me,wen u get lafenwa ita oshin take camp cab wen u get camp cross oda side go unaab den call
receive,1,Easytunez Service offers you 1 FREE Ring Back Tune & FREE Activation for 30 days. Text 1 to 251 for Esupofo by Olamide or text 3 to 251 for Limpopo by Kcee.,easytunez servic offer number free ring back tune free activ number day text number number esupofo olamid text number number limpopo kcee
receive,0,Do you know you can get N1 000 in the Diamond mobile App activate & win promo? Simply download and use the Mobile App. For enquiries  call 07003000000,know get nnumber number diamond mobil app activ win promo simpli download use mobil app enquiri call number
receive,0,Dear Customer  never disclose your banking password  username and PIN to anyone by email  phone or in person. For enquiries please call 07003000000 or SMS 30811,dear custom never disclos bank password usernam pin anyon email phone person enquiri pleas call number sms number
receive,0,Due to system maintenance  our service channels will be UNAVAILABLE from 5pm 04/07- 7am 07/07 2014. For open services  visit diamondbank.com or call 07003000000,due system mainten servic channel unavail numberpm number number numberam number number number open servic visit diamondbank com call number
receive,0,Dear TOSIN   Fund your account and win N1000 when you download and carry out a transaction with the Diamond Mobile App. For enquiries call 07003000000,dear tosin fund account win nnumber download carri transact diamond mobil app enquiri call number
receive,0,Dear TOSIN RASHEED AGBAJE   Fund your account and win N1000 when you download and carry out a transaction with the Diamond Mobile App. For enquiries call 07003000000,dear tosin rashe agbaj fund account win nnumber download carri transact diamond mobil app enquiri call number
receive,0,Dear TOSIN RASHEED AGBAJE   Fund your account today and win N1 000 when you download and use the Diamond Mobile App. Terms & Conditions Apply. For enquiries  call 07003000000 or SMS 30811,dear tosin rashe agbaj fund account today win nnumber number download use diamond mobil app term condit appli enquiri call number sms number
receive,0,Win free airtime while you study for JAMB & 'O' level exams by downloading the DIAMOND PREP CHALLENGE app on your mobile phone. For enquiries call 0700 3000000,win free airtim studi jamb level exam download diamond prep challeng app mobil phone enquiri call number number
receive,1,Breaking News!!! Recharge and get 200% extra airtime INSTANTLY to call any Airtel number. Limited period offer. Recharge Now!,break news recharg get number extra airtim instant call airtel number limit period offer recharg
send,0,Gud afternoon I just wanted to ask when  are we going to get the balance of our wages,gud afternoon want ask go get balanc wage
send,0,Gud afternun mr Nats my acct name is agbaje Tosin rasheed acct number is 3044358234 bank name 1st bank,gud afternun mr nat acct name agbaj tosin rashe acct number phone number bank name numberst bank
receive,0,Dear all pls we are to report at d venue WDC agege by 9am prompt for a meeting with d client.dont fail.come with ur pencils eraser and d recruitment qntrs... Mr.nath..mms,dear pls report venu wdc ageg numberam prompt meet client dont fail come ur pencil eras recruit qntrs mr nath mms
receive,0,Please call me. SGet daily Business Tips  60mins voice calls  30SMS  100MB data @ N1000/month. Dial *460*1# to migrate & *460*2*1# to buy,pleas call sget daili busi tip numbermin voic call numbersm numbermb data nnumber month dial number number migrat number number number buy
receive,0,I ve been calling ur line  ur not picking. U are invited for a briefing tomorrow at psi by 9am promt.,call ur line ur pick u invit brief tomorrow psi numberam promt
receive,1,Are you a graduate or professional looking for a new job? To get daily Job Vacancies from Phillips Consulting  text YES to 5039 or STOPALERTS  to unsubscribe,graduat profession look new job get daili job vacanc phillip consult text yes number stopalert unsubscrib
receive,1,Looking for a new job?A good CV should be short/relevant;no more than 3pages.For more Job tips from Phillips Consulting text JOBS to 5039 or STOP to unsubscribe,look new job good cv short relev numberpag job tip phillip consult text job number stop unsubscrib
receive,1,Are you a graduate or professional looking for a new job? To get daily Job Vacancies from Phillips Consulting  text YES to 5039 or STOPALERTS  to unsubscribe,graduat profession look new job get daili job vacanc phillip consult text yes number stopalert unsubscrib
receive,1,Looking for a new job?A good CV should be short/relevant;no more than 3pages.For more Job tips from Phillips Consulting text JOBS to 5039 or STOP to unsubscribe,look new job good cv short relev numberpag job tip phillip consult text job number stop unsubscrib
receive,1,Are you a graduate or professional looking for a new job? To get daily Job Vacancies from Phillips Consulting  text YES to 5039 or STOPALERTS  to unsubscribe,graduat profession look new job get daili job vacanc phillip consult text yes number stopalert unsubscrib
receive,1,God will bless you richly so that in all things at all times you will abound in every good work.For more prayers from Pastor Chris Oyakhilome text ROR to 5036.,god bless rich thing time abound everi good work prayer pastor chris oyakhilom text ror number
receive,1,RAMADAN THE MONTH OF FORGIVENESS AND BONANZA.For Ramadan Daily Prayer Guide. Text Ramadan to 35242.cost N100 /Ramadan Period.Content delivery starts next day,ramadan month forgiv bonanza ramadan daili prayer guid text ramadan number cost nnumber ramadan period content deliveri start next day
receive,1,Making money can be made easier with the right information and skills so text Money Shop Today.Text YES to 5038 to subscribe. N50/wkly.Text STOP to unsubscribe,make money made easier right inform skill text money shop today text yes number subscrib nnumber wkli text stop unsubscrib
send,0,verse wat is d Alfa nw just shake ur mouth 4rm dier,vers wat alfa nw shake ur mouth numberrm dier
receive,1,Visit https://mtnnigeria.weballynis.gemalto.com/CloudBackup/ login 2347XXXXXX17 password thkDys to access your saved data,visit webaddress login numberxxxxxxnumb password thkdys access save data
receive,1,MTN Backup  service to protect your personal data (contacts  calendar ...) detected your new handset. You will receive a message to configure it and to retrieve your previous data.,mtn backup servic protect person data contact calendar detect new handset receiv messag configur retriev previous data
receive,0,SWW! Ramadan Kereem! the moon has been sighted and confirmed by sultan. first of Ramadan is Saturday 28/6/2014,sww ramadan kereem moon sight confirm sultan first ramadan saturday number number number
send,0,Walaikum salam w w jazakumllah kairan,walaikum salam w w jazakumllah kairan
receive,0,SWW! Ramadan Kereem! the moon has been sighted and confirmed by sultan. first of Ramadan is Saturday 28/6/2014,sww ramadan kereem moon sight confirm sultan first ramadan saturday number number number
send,0,Acct name agbaje Tosin rasheed acct no 3044358234 bank name 1st bank abeg 2mao morning by 8am I go dey expect am so sorry 4 d inconvinencies,acct name agbaj tosin rashe acct phone number bank name numberst bank abeg numbermao morn numberam go dey expect sorri number inconvin
send,0,Gud mornin dis my acct details Acct name agbaje tosin  acct number 30XXXXXX34 bank name 1st bank,gud mornin dis acct detail acct name agbaj tosin acct number numberxxxxxxnumb bank name numberst bank
receive,0,Come.See.Experience..Acquire! Share the fun & gains @ the Convocation Research & Agric. Fair @ 10am 2day. Venue: Ceremonial Building. Don't be told. Be there.,come see experi acquir share fun gain convoc research agric fair numberam numberday venu ceremoni build told
receive,1,Dear subscriber  you have just been credited with 10MB of data,dear subscrib credit numbermb data
send,0,Acct name agbaje tosin acct no 30xxxxxxx34 bank name 1st bank,acct name agbaj tosin acct numberxxxxxxxnumb bank name numberst bank
send,0,venue. no 12 seriki aro abass street off osolo road 7/8 bus stop airport rd ajao estate.,venu number seriki aro abass street osolo road number number bus stop airport rd ajao estat
send,0,venue. no 12 seriki aro abass street off osolo road 7/8 bus stop airport rd ajao estate.,venu number seriki aro abass street osolo road number number bus stop airport rd ajao estat
send,0,venue. no 12 seriki aro abass street off osolo road 7/8 bus stop airport rd ajao estate.,venu number seriki aro abass street osolo road number number bus stop airport rd ajao estat
receive,0,venue. no 12 seriki aro abass street off osolo road 7/8 bus stopairport rd ajao estate tell odas call ds no 08032713606,venu number seriki aro abass street osolo road number number bus stopairport rd ajao estat tell oda call ds number
receive,1,To continue your subscription to Glo Backup service  please go to the following URL to configure your handset: http://backup-globacom-ng.weballynis.gemalto.com,continu subscript glo backup servic pleas go follow url configur handset webaddress
receive,1,Glo Backup saves contacts and restores them if you change or lose your phone. Backup costs N50. More info: http://www.gloworld.com/globackup.,glo backup save contact restor chang lose phone backup cost nnumber info webaddress
receive,1,Get the latest breaking local & international news  text NEWS to 30327; for latest news & gossips on artistes & celebrities  text CELEB to 30327. N20 for 5days,get latest break local intern news text news number latest news gossip artist celebr text celeb number nnumber numberday
receive,1,Are you searching for LOVE or in LOVE and you don't know how to keep it? Text DL to 30327 for LOVE ADVICE. Service cost N20/day. Powered by Etisalat,search love love know keep text dl number love advic servic cost nnumber day power etisalat
receive,1,Be healthy & safe at all times  text HSE to 30328 to start getting safety tips; Be healthy & beautiful all day  text HBE to 30328 to get started. Cost:N20/3days,healthi safe time text hse number start get safeti tip healthi beauti day text hbe number get start cost nnumber numberday
receive,1,Our precious gifts require the most delicate care & attention. Find out the best tips on how to Take Care of Your Baby. Send 6 to 33555 @ N50/week.,precious gift requir delic care attent find best tip take care babi send number number nnumber week
receive,0,williams Frank 07xxxxxxx344...akplor kingsley 081XXXXXX61,william frank numberxxxxxxxnumb akplor kingsley numberxxxxxxnumb
receive,0,Please call me. Join D'banj and help change Africa. Say YES now! Dial *345# to support change and get a FREE Dbanj track ,pleas call join banj help chang africa say yes dial number support chang get free dbanj track
receive,0,Please call me. Join D'banj and help change Africa. Say YES now! Dial *345# to support change and get a FREE Dbanj track ,pleas call join banj help chang africa say yes dial number support chang get free dbanj track
receive,1,Dear Customer  Enjoy minimum Free Internet for 6-12 months as you buy the Latest Samsung  Nokia & other devices from Gloworld Shops. Glo gives you MORE.,dear custom enjoy minimum free internet number number month buy latest samsung nokia devic gloworld shop glo give
receive,0,Project breakfast briefing will come up on Friday 30 May 2014 by 9am. Pls come early. Frm. Femi,project breakfast brief come friday number may number numberam pls come earli frm femi
send,0,Agbaje Tosin rasheed matric no 2010/2648,agbaj tosin rashe matric number number
receive,1,OKGenuine Lumartem.Your PIN:200XXXXXXX755 NRN:A4-4845Problem? Call 08039012929NAFDAC & CIPLA CareSproxil SMS,okgenuin lumartem pin numberxxxxxxxnumb nrn anumb numberproblem call numbernafdac cipla caresproxil sms
send,0,Acct name Agbaje Tosin rasheed  acct number 30XXXXXX34 bank name 1st bank,acct name agbaj tosin rashe acct number numberxxxxxxnumb bank name numberst bank
receive,0,We show our profound gratitude for gracing our wedding programme thru ur prayer  presence &gift. Thanks for being part of our joy.Thanks.Mr.&Mrs Bunmi Oluwalana,show profound gratitud grace wed programm thru ur prayer presenc gift thank part joy thank mr mrs bunmi oluwalana
receive,1,Enjoy Aljazeera news for 7 days FREE on easynews from Etisalat and get 2 products free for 30 Days. Text Aljazeera to 655,enjoy aljazeera news number day free easynew etisalat get number product free number day text aljazeera number
receive,1,America - land of opportunity. Learn about America - how to visit  school  work or relocate. Get 5 days FREE and then N50/5 day. Text AME to 38888.,america land opportun learn america visit school work reloc get number day free nnumber number day text ame number
receive,0,Join us as we celebrate the union between Esther Falana and Bunmi Oluwalana on 17th May @ RCCG Olorunnisola Atitebi Bankole Str  Ipaja Ayobo by 10am.08XXXXXXX80,join us celebr union esther falana bunmi oluwalana numberth may rccg olorunnisola atitebi bankol str ipaja ayobo numberam numberxxxxxxxnumb
receive,1,Still haven't done so? Hurry & recharge with at least N100 now! Important! 8165440271  it's your lucky day for FREE 20% extra bonus to call MTN2MTN!,still done hurri recharg least nnumber import phone number lucki day free number extra bonus call mtnnumbermtn
receive,1,Still haven't done so? Hurry & recharge with at least N100 now! Important! 8165440271  it's your lucky day for FREE 20% extra bonus to call MTN2MTN!,still done hurri recharg least nnumber import phone number lucki day free number extra bonus call mtnnumbermtn
receive,1,81XXXXXX71  you have been selected! Lucky you! Just recharge with at least N100 today! Enjoy FREE 20% extra credit for MTN2MTN calls!,numberxxxxxxnumb select lucki recharg least nnumber today enjoy free number extra credit mtnnumbermtn call
receive,0,70XXXXX653,numberxxxxxnumb
receive,0,Hi friendz. Hope ur preparatn 4 d eXam is going smoothly. Ur SUCCESS in ds EXAM is undoutable bcos u'll perform excellently well by GOD's grace- Amen!,hi friendz hope ur preparatn number exam go smooth ur success ds exam undout bcos u perform excel well god grace amen
receive,0,Salaam alykum dis is 2 wish u suxes in d forthcoming examination may Allah{SWT}grant u success in all ur endeavor in life n hereafter,salaam alykum dis number wish u sux forthcom examin may allah swt grant u success ur endeavor life n hereaft
receive,1,Your Diamond Online/Mobile user name is tosrasheed.Set up your password within 30 days on the Diamond online log in screen to prevent account deactivation,diamond onlin mobil user name tosrashe set password within number day diamond onlin log screen prevent account deactiv
receive,1,Welcome to Diamond. Your new account no is 00XXXXXX20  You will receive your e-banking details shortly.Please save our Contact Centre no 07003000000 f enquiries,welcom diamond new account numberxxxxxxnumb receiv e bank detail short pleas save contact centr number f enquiri
receive,0,You are invited for interview @ GNI PLC on friday 25th & monday 28th @ 28 Afolabi Aina Str  Behind Alade Market Allen Junction Ikeja.Time 10am prompt by Mr.Chinedu Manager-08033735938.,invit interview gni plc friday numberth monday numberth number afolabi aina str behind alad market allen junction ikeja time numberam prompt mr chinedu manag number
receive,1,Tonight 7.45 Champions Lge Semi Final 1st Leg Ath. Madrid v Chelsea. For live match SMS/news and Mp3s  first text SUB to 30181 to register. Just N50/wk!,tonight number number champion lge semi final numberst leg ath madrid v chelsea live match sms news mpnumber first text sub number regist nnumber wk
receive,1,This Sunday on Glo: Moyes Man Utd take on his old team Everton at 4.10pm! For live match SMS/news and Mp3s  text SUB to 30181 to register. Just N50/wk!,sunday glo moy man utd take old team everton number numberpm live match sms news mpnumber text sub number regist nnumber wk
receive,1,"John invited you to Facebook. Learn more: http://fb.com/l/1J510vdhBlkg41Y . Reply ""stop"" to stop getting Facebook texts",john invit facebook learn webaddress repli stop stop get facebook text
receive,1,Get 75% bonus plus 5MB data on every recharge to call ANY network in Nigeria. Recharge N1000  get N1000+ N750! Recharge N100  get N100+ N75  Recharge Now!,get number bonus plus numbermb data everi recharg call network nigeria recharg nnumber get nnumber nnumber recharg nnumber get nnumber nnumber recharg
receive,1,Please call me back. Get discounted products like Electronics  Gadgets  Clothes  Travel tickets etc  sms Menu to 2220. N100/Month.,pleas call back get discount product like electron gadget cloth travel ticket etc sms menu number nnumber month
send,0, Acct name Aremu nasirlahi tosin acct number 01XXXXXX47,acct name aremu nasirlahi tosin acct number numberxxxxxxnumb
receive,1,WhatsApp code 144-419,whatsapp code number number
receive,1,"VALENTINE OFFER! Get SHARP 24"" LED @ 25 990/ & A SPECIAL DISCOUNT ON SAMSUNG A/C:IKEJA CITY MALL 08023663840 ALLEN AVENU 08129121623  HURRY LIMITTED STOCK ONLY!!!",valentin offer get sharp number led number number special discount samsung c ikeja citi mall number allen avenu number hurri limit stock
receive,0,I want make u elp me check my CGPA b4 u leave nd it urgent.,want make u elp check cgpa bnumber u leav nd urgent
receive,1,For 10mb Daily data plan @N100  dial *229*3*1# or text 'MI1' to 229. For 50MB 7 Day data plan @N500  dial *229*3*4# or text 'MI2' to 229. Opt out code: *229*0#,numbermb daili data plan nnumber dial number number number text minumb number numbermb number day data plan nnumber dial number number number text minumb number opt code number number
receive,1,Text to 229: 'MB2' for 200mb @N1000;  'MB3' for 500mb @N2000; 'MB4' for 1.5GB @N4000; 'MB5' for 3GB @N6500; 'MB6' for 6GB @N8000; 'SM1' for 10GB @N10000; 'SM2' for 15GB @N15000; 'SM3' for 20GB @N20000. 'MB7' for 3GB Night & Wkend (9pm-7am) @N4000. All plans listed are valid for 30 days. To opt out  dial *229*0#,text number mbnumber numbermb nnumber mbnumber numbermb nnumber mbnumber number numbergb nnumber mbnumber numbergb nnumber mbnumber numbergb nnumber smnumber numbergb nnumber smnumber numbergb nnumber smnumber numbergb nnumber mbnumber numbergb night wkend numberpm numberam nnumber plan list valid number day opt dial number number
receive,1,Text 'smarta' to 8183 @N1000 for 200MB. For 500MB  Text 'smartb' to 8183 @N2000.For 1.5GB  Text 'smartc' to 8183 @4000. For 3GB  Text 'smartd' to 229 @N6500. For 6GB Text 'smarte' to 8183 @N8000..,text smarta number nnumber numbermb numbermb text smartb number nnumber number numbergb text smartc number number numbergb text smartd number nnumber numbergb text smart number nnumber
receive,1,Text to 229: 'SMART' for smartphone plans; 'MONTHLY'  for monthly plans; 'MOBILE' for daily & weekly plans;  'fb' for facebook plans; 'OM' for Opera Mini plans,text number smart smartphon plan month month plan mobil daili week plan fb facebook plan om opera mini plan
receive,0,It's Officially noted dat 20014 is in and seated with us.it brings all good life packages.Happy New year,offici note dat number seat us bring good life packag happi new year
receive,1,"Get ""Ari Belema"" as your Callertune. Text 3 to 4100.Tune/service Cost N50 monthly.",get ari belema callertun text number number tune servic cost nnumber month
receive,1,95% OFF! With just N5  download 2HD songs & stream unlimited music for 7days. Simply text e to 5900 to try. Applies to all phones.,number nnumber download numberhd song stream unlimit music numberday simpli text e number tri appli phone
receive,1,Y¡¯ello  Welcome to 25MB Whatsapp Monthly . Expires 2016-03-28. Dial *599*25# to check your data.,ello welcom numbermb whatsapp month expir number number number dial number number check data
receive,1,Your recharge of NGN100.00 was successful. You have received NGN  10.00 Bonus for calls to all networks. This is valid for 7 days. To view your bonus please Dial *559*4#,recharg ngnnumber number success receiv ngn number number bonus call network valid number day view bonus pleas dial number number
receive,1,Yello! You have used up your BB10 data plan but you will now continue enjoying data at N0.004882813 kobo/KB until the data plan expires on 2016-03-03,yello use bbnumber data plan continu enjoy data nnumber number kobo kb data plan expir number number number
receive,1,Yello! you have used 95% of your BB10 data plan  when exhausted  click http://bit.ly/1Mv9Y7B to buy another bundle or text RESET to 131 to browse ? 5kobo/KB.,yello use number bbnumber data plan exhaust click webaddress buy anoth bundl text reset number brows numberkobo kb
receive,1,Yello! you have used 75% of your BB10 data plan  when exhausted  click http://bit.ly/1Mv9Y7B to buy another bundle or text RESET to 131 to browse ? 5kobo/KB.,yello use number bbnumber data plan exhaust click webaddress buy anoth bundl text reset number brows numberkobo kb
receive,1,Yello! you have used 50% of your BB10 data plan  when exhausted  click http://bit.ly/1Mv9Y7B to buy another bundle or text RESET to 131 to browse ? 5kobo/KB.,yello use number bbnumber data plan exhaust click webaddress buy anoth bundl text reset number brows numberkobo kb
receive,1,Your request is now being processed. Please do not send another. We will send you a confirmation once completed. Thank you!,request process pleas send anoth send confirm complet thank
receive,1,Sorry  you do not have enough credit to renew your BlackBerry subscription. Please load a recharge card and send BBLITED to 21600 for service renewal. Thank you.,sorri enough credit renew blackberri subscript pleas load recharg card send bblite number servic renew thank
receive,1,Welcome to MTN BlackBerry BBLITED. You have 10MB inclusive data bundle  Costs N70.0. Auto renew your Subscription and enjoy wonderful discounts. Thank you!,welcom mtn blackberri bblite numbermb inclus data bundl cost nnumber number auto renew subscript enjoy wonder discount thank
receive,1,Y'ello! Please note that your MTN BlackBerry BBLITED service will be renewed on Wed 10:52 PM  24 Feb 2016 and N70.0 will be deducted from your account.Ignore this message to renew  or text NO to 21600 to cancel the service. Thank you!,ello pleas note mtn blackberri bblite servic renew wed number number pm number feb number nnumber number deduct account ignor messag renew text number cancel servic thank
receive,1,Your request is now being processed. Please do not send another. We will send you a confirmation once completed. Thank you!,request process pleas send anoth send confirm complet thank
receive,1,Ref: 661711383 27/02 15:29:25 Bonus Acc: Dial *559*4# Amt: N100.00 Prev bal: N6.57 Bal: N106.57 From: MTN VTU TopUp,ref number number number number number number bonus acc dial number number amt nnumber number prev bal nnumber number bal nnumber number mtn vtu topup
send,1,Unscubscribe with 2,unscubscrib number
receive,1,Do ensure you subscribe to an MTN Data Bundle to avoid being charged out of bundle rates for browsing or for mobile app updates on your new smart phone. Visit www.mtnonline.com/tips for tips to help you avoid extra charges due to your smart phone.,ensur subscrib mtn data bundl avoid charg bundl rate brows mobil app updat new smart phone visit webaddress tip help avoid extra charg due smart phone
receive,1,Yello welcome to MTN please SAVE the setup information that will be sent shortly  to enable data services on your phone.Security code is 0000.Thank you.,yello welcom mtn pleas save setup inform sent short enabl data servic phone secur code number thank
receive,1,Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. BB Plan: 0MB till 24-Feb. BB Plan: 0MB till 24-Feb. ,balanc bb absolut complet numbermb till number mar bb plan numbermb till number feb bb plan numbermb till number feb
receive,1,Dear customer  you have used up 100% of your FUP limit. Your BlackBerry UNLIMITED plan expires on Feb 24 2016.,dear custom use number fup limit blackberri unlimit plan expir feb number number
receive,1,Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. BB Plan: 29MB till 24-Feb. BB Plan: 10MB till 24-Feb. ,balanc bb absolut complet numbermb till number mar bb plan numbermb till number feb bb plan numbermb till number feb
receive,1,Dear subscriber  your current Airtel Unlimited same day service expires on Thu 25 Feb 2016. To disable auto renewal  please send stopautorenew to 440,dear subscrib current airtel unlimit day servic expir thu number feb number disabl auto renew pleas send stopautorenew number
receive,1,You have successfully subscribed to BB Unlimited daily plan. Please restart your phone to get this service running. Visit www.onetouch.ng for more details.,success subscrib bb unlimit daili plan pleas restart phone get servic run visit webaddress detail
receive,1,Your Airtel Unlimited plan is active. Re-insert your battery. This plan is usable on Blackberry devices and other device type.,airtel unlimit plan activ insert batteri plan usabl blackberri devic devic type
receive,1,Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. BB Plan: 0MB till 24-Feb. BB Plan: 0MB till 24-Feb. ,balanc bb absolut complet numbermb till number mar bb plan numbermb till number feb bb plan numbermb till number feb
receive,1,Dear subscriber  your current Airtel Unlimited same day service expires on Thu 25 Feb 2016. To disable auto renewal  please send stopautorenew to 440,dear subscrib current airtel unlimit day servic expir thu number feb number disabl auto renew pleas send stopautorenew number
receive,1,You have successfully subscribed to BB Unlimited daily plan. Please restart your phone to get this service running. Visit www.onetouch.ng for more details.,success subscrib bb unlimit daili plan pleas restart phone get servic run visit webaddress detail
receive,1,Your Airtel Unlimited plan is active. Re-insert your battery. This plan is usable on Blackberry devices and other device type.,airtel unlimit plan activ insert batteri plan usabl blackberri devic devic type
receive,1,Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. ,balanc bb absolut complet numbermb till number mar
receive,0,As God adds another year to your years may God increase you on all sides and may you live a fruitful and fulfilled life. HBD sir,god add anoth year year may god increas side may live fruit fulfil life hbd sir
send,0,Gud evng ma  u r to follow Adeoye (08XXXXXXX81) up nd giv report concerning him. Tnx nd God bless.,gud evng u r follow adeoy numberxxxxxxxnumb nd giv report concern tnx nd god bless
receive,0,Gud day sir u will anchor intercessory prayer tomorrow,gud day sir u anchor intercessori prayer tomorrow
receive,0,Its true dat u r prayerful.Thank God for ur life  but you also need to be infused with mighty power in your inner man by God's spirit.that is wat we do wen we come together to pray we strenghten ourselves tru prayers.prayer unit meeting is 6p.m today@MCF gate.abk.be punctual,true dat u r prayer thank god ur life also need infus mighti power inner man god spirit wat wen come togeth pray strenghten tru prayer prayer unit meet numberp emailaddress gate abk punctual
